district,population,output,input,spearman_rho,p_value,abs_rho,expected_sign,sign_matches,distinguishable_from_zero,sign_consistent,rank
Khulna,adult,ELCR,IR_L_per_day,0.09851881850518819,5.360405123975717e-23,0.09851881850518819,1,True,True,True,2.0
Khulna,adult,ELCR,BW_kg,-0.053236618876366194,9.997256315032202e-08,0.053236618876366194,-1,True,True,True,3.0
Khulna,adult,ELCR,EF_days_per_year,0.02127518103275181,0.033379148493484584,0.02127518103275181,1,True,False,True,4.0
Khulna,adult,ELCR,ET_h_per_day,0.0011953385639533857,0.9048642225674468,0.0011953385639533857,0,True,False,True,6.0
Khulna,adult,ELCR,SA_m2,-0.01022854912228549,0.3064242669730453,0.01022854912228549,0,True,False,True,5.0
Khulna,child,HI,C_mg_per_L,0.9896977602569776,0.0,0.9896977602569776,1,True,True,True,1.0
Khulna,child,HI,IR_L_per_day,0.10280564315605643,6.57901387824304e-25,0.10280564315605643,1,True,True,True,2.0
Khulna,child,HI,BW_kg,-0.05963519912035199,2.400526215383064e-09,0.05963519912035199,-1,True,True,True,3.0
Khulna,child,HI,EF_days_per_year,0.026795869215958692,0.007368088650350985,0.026795869215958692,1,True,False,True,4.0
Khulna,child,HI,ET_h_per_day,0.024062857548628577,0.016113554210314775,0.024062857548628577,1,True,False,True,5.0
Khulna,child,HI,SA_m2,0.008750487471504875,0.38159778750308404,0.008750487471504875,1,True,False,True,6.0
Khulna,child,ELCR,C_mg_per_L,0.9896800268848003,0.0,0.9896800268848003,1,True,True,True,1.0
Khulna,child,ELCR,IR_L_per_day,0.10293959361339594,5.716529682629412e-25,0.10293959361339594,1,True,True,True,2.0
Khulna,child,ELCR,BW_kg,-0.05963007459230074,2.4080946190988955e-09,0.05963007459230074,-1,True,True,True,3.0
Khulna,child,ELCR,EF_days_per_year,0.026796009123960095,0.007367780596636604,0.026796009123960095,1,True,False,True,4.0
Khulna,child,ELCR,ET_h_per_day,0.024007460196074602,0.016359637117732386,0.024007460196074602,0,True,False,True,5.0
Khulna,child,ELCR,SA_m2,0.00868818093888181,0.3849970826228291,0.00868818093888181,0,True,False,True,6.0
Barisal,adult,HI,C_mg_per_L,0.9888780360247803,0.0,0.9888780360247803,1,True,True,True,1.0
Barisal,adult,HI,IR_L_per_day,0.11725523634855237,5.936571013577541e-32,0.11725523634855237,1,True,True,True,2.0
Barisal,adult,HI,BW_kg,-0.02597077822370778,0.009398958985765685,0.02597077822370778,-1,True,False,True,4.0
Barisal,adult,HI,EF_days_per_year,0.05185250595852505,2.1245912482604438e-07,0.05185250595852505,1,True,True,True,3.0
Barisal,adult,HI,ET_h_per_day,0.005244623728446237,0.6000000662850214,0.005244623728446237,1,True,False,True,5.0
Barisal,adult,HI,SA_m2,-0.002798508567985086,0.7796183524027464,0.002798508567985086,1,False,False,True,6.0
Barisal,adult,ELCR,C_mg_per_L,0.988821805356218,0.0,0.988821805356218,1,True,True,True,1.0
Barisal,adult,ELCR,IR_L_per_day,0.11761017418810174,3.8790665915422993e-32,0.11761017418810174,1,True,True,True,2.0
Barisal,adult,ELCR,BW_kg,-0.025966782511667827,0.009409903076150779,0.025966782511667827,-1,True,False,True,4.0
Barisal,adult,ELCR,EF_days_per_year,0.05185285643052857,2.1241907731212715e-07,0.05185285643052857,1,True,True,True,3.0
Barisal,adult,ELCR,ET_h_per_day,0.00510906899109069,0.6094586397366637,0.00510906899109069,0,True,False,True,5.0
Barisal,adult,ELCR,SA_m2,-0.0029632222256322223,0.7670118060064823,0.0029632222256322223,0,True,False,True,6.0
Barisal,child,HI,C_mg_per_L,0.9862025399500253,0.0,0.9862025399500253,1,True,True,True,1.0
Barisal,child,HI,IR_L_per_day,0.10402760655227607,1.8133217185569113e-25,0.10402760655227607,1,True,True,True,2.0
Barisal,child,HI,BW_kg,-0.07650133126501331,1.853489058744455e-14,0.07650133126501331,-1,True,True,True,3.0
Barisal,child,HI,EF_days_per_year,0.026822481484224815,0.007309700411772169,0.026822481484224815,1,True,False,True,4.0
Barisal,child,HI,ET_h_per_day,-0.007072408282724083,0.47946626936123526,0.007072408282724083,1,False,False,True,5.0
Barisal,child,HI,SA_m2,0.00625432515854325,0.5317345148799681,0.00625432515854325,1,True,False,True,6.0
Barisal,child,ELCR,C_mg_per_L,0.9861769341937694,0.0,0.9861769341937694,1,True,True,True,1.0
Barisal,child,ELCR,IR_L_per_day,0.10418472290184722,1.534724536066923e-25,0.10418472290184722,1,True,True,True,2.0
Barisal,child,ELCR,BW_kg,-0.0765055505370555,1.84738326949564e-14,0.0765055505370555,-1,True,True,True,3.0
Barisal,child,ELCR,EF_days_per_year,0.026825337172253372,0.007303459659404844,0.026825337172253372,1,True,False,True,4.0
