scenario,district,population,mean_HI,P50_HI,P95_HI,P_HI_gt_1,P_HI_gt_2,P95_ELCR,ratio_mean_HI,ratio_P50_HI,ratio_P95_HI,ratio_P_HI_gt_1,ratio_P_HI_gt_2,ratio_P95_ELCR,primary_mean_HI,primary_P50_HI,primary_P95_HI,primary_P_HI_gt_1,primary_P_HI_gt_2,primary_P95_ELCR
S5_child_bw_0_71_months,Comilla,child,59.13026181434486,19.147838958081792,243.90035591629788,0.8471,0.7953,0.009403557923772298,0.9358753816660818,0.9317601727060411,0.939551336530911,0.9949494949494948,0.9928838951310861,0.940349634046228,63.18176861226852,20.550179669594765,259.5923675834967,0.8514,0.801,0.01000006548980059
S5_child_bw_0_71_months,Bogra,child,15.021789484886769,0.22955110213393598,31.451406139577287,0.3153,0.2384,0.00121194693637501,0.9363925835967908,0.9265042857696064,0.9454435478873533,0.9737492279184683,0.969499796665311,0.9450352008711546,16.042191862718905,0.2477604320451232,33.266297294912235,0.3238,0.2459,0.0012824357603376153
S6_ir_sa_log_space,Dhaka,adult,14.610870724888716,0.4319935060593524,74.81565831057071,0.4329,0.3757,0.03359481607342227,3.4884293637509614,3.0528680092257705,3.469240637888226,1.293783622235505,1.3997764530551413,3.4694441636950635,4.18838084460402,0.1415041543734834,21.56542774620328,0.3346,0.2684,0.009683054255481306
S6_ir_sa_log_space,Dhaka,child,81.86929732321524,2.1749928537686785,422.05572377188435,0.5522,0.5064,0.016272392911161553,3.496232998551803,3.0369293400004307,3.485082809052926,1.1588667366211962,1.199147525455837,3.4860264707245125,23.416430586041272,0.716181580230105,121.10349937038607,0.4765,0.4223,0.00466789137943052
S6_ir_sa_log_space,Chittagong,adult,6.359836053932551,0.7249214464839151,22.352979600963746,0.4374,0.3126,0.010050158696160525,3.485488144828778,3.155384337814367,3.354617003237124,1.884532529082292,2.1936842105263157,3.356435558941913,1.8246615078488448,0.2297410929617673,6.663347732213144,0.2321,0.1425,0.0029942951442597484
S6_ir_sa_log_space,Chittagong,child,31.941626553035434,3.8408150085754422,119.77088298469302,0.7311,0.6165,0.004618541168761174,3.4436353712067067,3.1821419840450877,3.450290700294228,1.360186046511628,1.5282597917699556,3.4529097467849748,9.275554206496189,1.2069904573186454,34.71327299304937,0.5375,0.4034,0.001337579464120522
S6_ir_sa_log_space,Rajshahi,adult,2.253104144766959,0.0005378249578205702,10.535481319740224,0.1737,0.1372,0.0047206877158557725,3.533389987745565,3.2608557902554183,3.3271048782022747,1.550892857142857,1.9460992907801418,3.3210782796826868,0.6376607599447361,0.0001649336837979097,3.166561231286713,0.112,0.0705,0.0014214322332404678
S6_ir_sa_log_space,Rajshahi,child,11.777253558326962,0.0035740810809665145,58.91042733169984,0.2577,0.2257,0.002270724907104821,3.4341129149875935,3.1664301838722992,3.2454923250474987,1.2675848499754057,1.377899877899878,3.2473308070718283,3.4294893178751256,0.0011287414764963141,18.151460990078807,0.2033,0.1638,0.0006992588812201647
S6_ir_sa_log_space,Khulna,adult,9.827199937093805,0.2864415634683122,52.09520565737958,0.4061,0.344,0.023387261143375145,3.4185836557829585,3.1586015118606707,3.3228310768339626,1.3518641810918774,1.489177489177489,3.3263449464087924,2.8746407654731154,0.09068619843076534,15.677957877719315,0.3004,0.231,0.0070309187772677135
S6_ir_sa_log_space,Khulna,child,57.99876848397184,1.6035402565463523,279.24961499817624,0.5344,0.4837,0.010769682903262164,3.4650998658347634,3.0727142890195114,3.3120232728942733,1.1907308377896613,1.2336138740117317,3.317527210497405,16.737978912477775,0.5218644187898233,84.31390482173417,0.4488,0.3921,0.0032462982878284936
