district,population,statistic,primary_value,outer_replicates,param_unc_median,param_unc_q025,param_unc_q975,interval_width_over_primary
Rangpur,adult,P50_HI,0.031158018613648517,1000,0.0347857005726774,0.010795954607114395,0.07800383838757713,2.157001207741203
Rangpur,adult,P95_HI,1.8416451916526837,1000,1.779764735678254,0.9618829628255736,2.9835733022887316,1.0977632111910236
Rangpur,adult,P_HI_gt_1,0.0999,1000,0.09765,0.0473825,0.1542025,1.0692692692692691
Rangpur,adult,P_HI_gt_2,0.0441,1000,0.0425,0.0123975,0.0784025,1.4967120181405895
Rangpur,adult,P95_ELCR,0.0008271198807595723,1000,0.0007978507310113326,0.0004318436316097283,0.0013408779782621816,1.0990357840482037
Rangpur,child,mean_HI,2.0008832513551402,1000,1.9655527278057991,1.0940025261922952,3.1830543513847194,1.0440648267596673
Rangpur,child,P50_HI,0.17757652796493445,1000,0.1962082996518493,0.06292275081592048,0.4247792965063466,2.037749863888999
Rangpur,child,P95_HI,9.618298369322842,1000,9.367908177248179,5.04293828176339,15.616870672348599,1.0993558303733144
Rangpur,child,P_HI_gt_1,0.2992,1000,0.3033,0.220995,0.3816,0.5367814171122994
Rangpur,child,P_HI_gt_2,0.2091,1000,0.2105,0.14118,0.27873,0.657819225251076
Rangpur,child,P95_ELCR,0.0003707102079610144,1000,0.0003610327402341879,0.00019433868198154834,0.0006012703483049044,1.0977082842190062
Mymensingh,adult,mean_HI,1.3685291260792942,1000,1.2430269319897636,0.5202774573570015,2.1240505709019675,1.171895492016033
Mymensingh,adult,P50_HI,0.011402953340628852,1000,0.01899349609056493,0.0030011696113253017,0.0645539261733485,5.397966186769355
Mymensingh,adult,P95_HI,7.1913073392366975,1000,6.469182161454989,2.6803313159117463,11.005238369298285,1.1576347193457823
Mymensingh,adult,P_HI_gt_1,0.1911,1000,0.1936,0.123595,0.2521,0.6724489795918367
Mymensingh,adult,P_HI_gt_2,0.1381,1000,0.13524999999999998,0.070285,0.182905,0.8154960173787111
Mymensingh,adult,P95_ELCR,0.003227278622435775,1000,0.0029020278769952283,0.0012039739437155548,0.004946917798123038,1.159783301133917
Mymensingh,child,mean_HI,7.509836447436825,1000,6.832149529454176,2.8693351015957718,11.680801155391825,1.1733232961156546
Mymensingh,child,P50_HI,0.0574497868003067,1000,0.0981349768167756,0.014963480721886186,0.33529653891486744,5.57587897247464
Mymensingh,child,P95_HI,37.908129010013305,1000,34.50100524518682,14.434914091824986,59.12883277315473,1.1790061880797122
Mymensingh,child,P_HI_gt_1,0.3202,1000,0.33425,0.2575775,0.4051175,0.4607745159275453
Mymensingh,child,P_HI_gt_2,0.2672,1000,0.2773,0.2057575,0.3416125,0.508439371257485
Mymensingh,child,P95_ELCR,0.0014608257973842992,1000,0.0013280790034979478,0.0005563095388272434,0.00227793359799847,1.1785279683956178
Comilla,adult,mean_HI,12.097150161149953,1000,12.370820880459402,10.23683373825258,14.72063455927729,0.37064934809393824
Comilla,adult,P50_HI,4.079069716707418,1000,3.9883709765023765,2.313744257129292,6.242971653816452,0.9632655653306144
